id,name_by_user,name,area_id,manufacturer,model
a9c0618f053fc25a2603ff7124ac3f5f,,Home Assistant Core,,Home Assistant,Home Assistant Core
a21cd24648b133f61f940e987a3a82e3,,Home Assistant Supervisor,,Home Assistant,Home Assistant Supervisor
486611c38a7e592db32aa8b72722413d,,Home Assistant Host,,Home Assistant,Home Assistant Host
db71368b511c0878d992ba4f7b2389de,,Home Assistant Operating System,,Home Assistant,Home Assistant Operating System
ff2fb24dbb10795d9891d24fae405c37,Utomhus.Sensor.Sun,Sun,utomhus,,
fe1a84dfddd8cda98c6ec58e06916ef9,,Badrum,,Google Inc.,Google Nest Mini
a0a98c6429333934833c06830a42d8a8,,Familjerum,,Google Inc.,Chromecast
5ddaa2806853b0ab93fc1990927d410b,,Sovrum,,Unknown manufacturer,Marshall Acton II
a4a41b9167e7c11c6bf1ebf4c319a362,,hci0 (DC:A6:32:40:31:3A),,Raspberry Pi Trading Ltd,bcm43438-bt
d8de3c30a32bb0fad62c4d73200c8a14,Kök.MediaPlayer.Sonos,Kök,kok,Sonos,SYMFONISK Bookshelf
48df2ffd85ef9a9490139fd22cc34a0f,,Rickard,,samsung,SM-G991B
6b542e6a649e9679e9555d4652535565,Utomhus.Sensor.Forcast,Forecast,utomhus,Met.no,Forecast
b379c937bfbefdac70538f474ff04e66,Tv-rum.Sensor.Klimat.Netatmo,Unknown 70:ee:50:74:46:84,tv_rum,Netatmo,Smart Home Weather station
3d0b9319d588f2caf02697bd86aebda4,Utomhus.Sensor.Klimat.Netatmo,Unknown 70:ee:50:74:46:84 utetemp,utomhus,Netatmo,Smart Outdoor Module
8155aa47a76cb7f987f0b519a9dc7fec,Utomhus.Sensor.Regnmätare.Netatmo,Unknown 70:ee:50:74:46:84 Regnmätare,utomhus,Netatmo,Smart Rain Gauge
671baed6a8dae38ff6ad7c4c951ce839,Utomhus.Sensor.Vindmätare.Netatmo,Unknown 70:ee:50:74:46:84 Vindmätare,utomhus,Netatmo,Smart Anemometer
269b2401de6663070e5bf00ff429ae6e,,Panel,,HUAWEI,AGS2-W09
2d151814c0d9d36aa5b5d37f5551f938,,Terminal & SSH,,Official apps,Home Assistant App
298c2970fe0d2fee62b96974fb5d56b0,,HACS,,hacs.xyz,
36a7889ddad289bb56b0ac39f43ef9b6,,Kiosk Mode,,NemesisRE,plugin
44e99633d4f022620b5cf845d5666c22,,File editor,,Official apps,Home Assistant App
1b5f86b6261e4e42f0aab2a6651c9ad0,,ha-floorplan 🖌🎨 | Your imagination (almost) defines the limits,,ExperienceLovelace,plugin
e9761b5d1a40f81050bd78aaed89426e,,iPad-DMPF10MLNTGR,,Apple,"iPad8,12"
a7cb57edb4d7ccf15753d7a6f7ec5ffe,,Mosquitto broker,,Official apps,Home Assistant App
0548e24eaea0601169464b9d0e8d61b9,,Kontoret,,Google Inc.,Google Nest Mini
888e5653734bf410db68c3052ca96c3b,,Växthus,,Google Inc.,Google Nest Mini
c30b1f66226ccb1cc72387533b15a414,Kontor.Hub.SurePetcare,Katthub,kontor,Sure Petcare,Hub
d3de70fa20cbc066cfe5045237a736ba,Groventre.Lucka.SurePetcare,Kattlucka ,groventre,Sure Petcare,Cat flap
3d8db654ff9ff97c5618491242e6465a,,Zelda,,Sure Petcare,Pet
a85bd682b861897fac5b6980ba714ab0,,Shiraz,,Sure Petcare,Pet
c3db8051159416c7ac77f0d70d6924db,,Semilon,,Sure Petcare,Pet
4bf827df0a4f241c585491e8eb2c5776,,Chanti,,Sure Petcare,Pet
4d5c35d2a4467fcc55c27de1974360c1,Kök.Hub.Controller.Verisure,Verisure Alarm,kok,Verisure,VBox
31a877528a69f01719a9ed54f4a12426,Groventre.BinarySensor.Ytterdörr.Verisure,,groventre,Verisure,Shock Sensor Detector
12e9a8b988c399d8936ad38af6851cfc,Tv-rum.BinarySensor.Altandörr.Verisure,,tv_rum,Verisure,Shock Sensor Detector
ac4fc4c62d690e2388237d55a662ae60,Kök.BinarySensor.Mediaskåp.Verisure,,kok,Verisure,Shock Sensor Detector
0cd0abbf67096882328c178166bbab88,Vardagsrum.BinarySensor.Altandörr.Verisure,,vardagsrum,Verisure,Shock Sensor Detector
be4d9e51a476241f35529ee4b9f482fd,Hall.BinarySensor.Ytterdörr.Verisure,,hall,Verisure,Shock Sensor Detector
c55241c09e2b2f9af27eb12c7abfade5,Källarhall.Sensor.Camera.Verisure,Hall källare,kallarhall,Verisure,SmartCam
