entity_id,device_id,area_id,original_name,platform
update.home_assistant_supervisor_update,a21cd24648b133f61f940e987a3a82e3,,Uppdatering,hassio
update.home_assistant_core_update,a9c0618f053fc25a2603ff7124ac3f5f,,Uppdatering,hassio
update.home_assistant_operating_system_update,db71368b511c0878d992ba4f7b2389de,,Uppdatering,hassio
sensor.home_assistant_core_cpu_percent,a9c0618f053fc25a2603ff7124ac3f5f,,Processoranvändning,hassio
sensor.home_assistant_core_memory_percent,a9c0618f053fc25a2603ff7124ac3f5f,,Minnesanvändning,hassio
sensor.home_assistant_supervisor_cpu_percent,a21cd24648b133f61f940e987a3a82e3,,Processoranvändning,hassio
sensor.home_assistant_supervisor_memory_percent,a21cd24648b133f61f940e987a3a82e3,,Minnesanvändning,hassio
sensor.home_assistant_host_os_agent_version,486611c38a7e592db32aa8b72722413d,,OS Agent-version,hassio
sensor.home_assistant_host_apparmor_version,486611c38a7e592db32aa8b72722413d,,AppArmor-version,hassio
sensor.home_assistant_host_disk_total,486611c38a7e592db32aa8b72722413d,,Totalt diskutrymme,hassio
sensor.home_assistant_host_disk_used,486611c38a7e592db32aa8b72722413d,,Använt diskutrymme,hassio
sensor.home_assistant_host_disk_free,486611c38a7e592db32aa8b72722413d,,Ledigt diskutrymme,hassio
sensor.home_assistant_operating_system_version,db71368b511c0878d992ba4f7b2389de,,Version,hassio
sensor.home_assistant_operating_system_newest_version,db71368b511c0878d992ba4f7b2389de,,Nyaste versionen,hassio
sensor.sun_next_dawn,ff2fb24dbb10795d9891d24fae405c37,,Nästa gryning,sun
sensor.sun_next_dusk,ff2fb24dbb10795d9891d24fae405c37,,Nästa skymning,sun
sensor.sun_next_midnight,ff2fb24dbb10795d9891d24fae405c37,,Nästa midnatt,sun
sensor.sun_next_noon,ff2fb24dbb10795d9891d24fae405c37,,Nästa middag,sun
sensor.sun_next_rising,ff2fb24dbb10795d9891d24fae405c37,,Nästa soluppgång,sun
sensor.sun_next_setting,ff2fb24dbb10795d9891d24fae405c37,,Nästa solnedgång,sun
sensor.sun_solar_elevation,ff2fb24dbb10795d9891d24fae405c37,,Solhöjd,sun
sensor.sun_solar_azimuth,ff2fb24dbb10795d9891d24fae405c37,,Solens azimut,sunvagguttag_kattrum_tretakt
binary_sensor.rpi_power_status,,,RPi Power status,rpi_power
media_player.badrum,fe1a84dfddd8cda98c6ec58e06916ef9,,,cast
media_player.familjerum,a0a98c6429333934833c06830a42d8a8,,,cast
media_player.sovrum,5ddaa2806853b0ab93fc1990927d410b,,,cast
sensor.sonos_favorites,,,Sonos favorites,sonos
media_player.kok,d8de3c30a32bb0fad62c4d73200c8a14,,,sonos
number.kok_bass,d8de3c30a32bb0fad62c4d73200c8a14,,Bas,sonos
number.kok_balance,d8de3c30a32bb0fad62c4d73200c8a14,,Balans,sonos
number.kok_treble,d8de3c30a32bb0fad62c4d73200c8a14,,Diskant,sonos
switch.kok_touch_controls,d8de3c30a32bb0fad62c4d73200c8a14,,Touch-kontroller,sonos
switch.kok_crossfade,d8de3c30a32bb0fad62c4d73200c8a14,,Övertoning,sonos
switch.kok_loudness,d8de3c30a32bb0fad62c4d73200c8a14,,Ljudstyrka,sonos
switch.kok_status_light,d8de3c30a32bb0fad62c4d73200c8a14,,Statuslampa,sonos
person.rickard,,,Rickard,person
tts.google_en_com,dcaf6c21f1c7baa315cfa1c9854023e7,,,google_translate
weather.forecast_hem,6b542e6a649e9679e9555d4652535565,,Hem,met
binary_sensor.remote_ui,,,Remote UI,cloud
device_tracker.rickards_mobil,48df2ffd85ef9a9490139fd22cc34a0f,,,mobile_app
sensor.sun_solar_rising,ff2fb24dbb10795d9891d24fae405c37,,Stigande sol,sun
todo.inkopslista,,,Inköpslista,shopping_list
sensor.unknown_70_ee_50_74_46_84_unknown_70_ee_50_74_46_84_unknown_70_ee_50_74_46_84_outdoor_temperature_trend,3d0b9319d588f2caf02697bd86aebda4,,Temperaturtrend,netatmo
sensor.unknown_70_ee_50_74_46_84_unknown_70_ee_50_74_46_84_unknown_70_ee_50_74_46_84_outdoor_reachability,3d0b9319d588f2caf02697bd86aebda4,,Nåbarhet,netatmo
sensor.unknown_70_ee_50_74_46_84_unknown_70_ee_50_74_46_84_unknown_70_ee_50_74_46_84_outdoor_radio,3d0b9319d588f2caf02697bd86aebda4,,RF-styrka,netatmo
sensor.unknown_70_ee_50_74_46_84_unknown_70_ee_50_74_46_84_unknown_70_ee_50_74_46_84_regnmatare_rain,8155aa47a76cb7f987f0b519a9dc7fec,,Nederbörd,netatmo
sensor.unknown_70_ee_50_74_46_84_unknown_70_ee_50_74_46_84_unknown_70_ee_50_74_46_84_regnmatare_rain_last_hour,8155aa47a76cb7f987f0b519a9dc7fec,,Nederbörd senaste timmen,netatmo
sensor.unknown_70_ee_50_74_46_84_unknown_70_ee_50_74_46_84_unknown_70_ee_50_74_46_84_regnmatare_rain_today,8155aa47a76cb7f987f0b519a9dc7fec,,Nederbörd i dag,netatmo
sensor.unknown_70_ee_50_74_46_84_unknown_70_ee_50_74_46_84_unknown_70_ee_50_74_46_84_regnmatare_battery_percent,8155aa47a76cb7f987f0b519a9dc7fec,,Batteri,netatmo
sensor.unknown_70_ee_50_74_46_84_unknown_70_ee_50_74_46_84_unknown_70_ee_50_74_46_84_regnmatare_reachability,8155aa47a76cb7f987f0b519a9dc7fec,,Nåbarhet,netatmo
sensor.unknown_70_ee_50_74_46_84_unknown_70_ee_50_74_46_84_unknown_70_ee_50_74_46_84_regnmatare_radio,8155aa47a76cb7f987f0b519a9dc7fec,,RF-styrka,netatmo
sensor.unknown_70_ee_50_74_46_84_unknown_70_ee_50_74_46_84_unknown_70_ee_50_74_46_84_vindmatare_battery_percent,671baed6a8dae38ff6ad7c4c951ce839,,Batteri,netatmo
sensor.unknown_70_ee_50_74_46_84_unknown_70_ee_50_74_46_84_unknown_70_ee_50_74_46_84_vindmatare_direction,671baed6a8dae38ff6ad7c4c951ce839,,Vindriktning,netatmo
sensor.unknown_70_ee_50_74_46_84_unknown_70_ee_50_74_46_84_unknown_70_ee_50_74_46_84_vindmatare_angle,671baed6a8dae38ff6ad7c4c951ce839,,Vindvinkel,netatmo
sensor.unknown_70_ee_50_74_46_84_unknown_70_ee_50_74_46_84_unknown_70_ee_50_74_46_84_vindmatare_wind_strength,671baed6a8dae38ff6ad7c4c951ce839,,Vindhastighet,netatmo
sensor.unknown_70_ee_50_74_46_84_unknown_70_ee_50_74_46_84_unknown_70_ee_50_74_46_84_vindmatare_gust_direction,671baed6a8dae38ff6ad7c4c951ce839,,Riktning vindbyar,netatmo
sensor.unknown_70_ee_50_74_46_84_unknown_70_ee_50_74_46_84_unknown_70_ee_50_74_46_84_vindmatare_gust_angle,671baed6a8dae38ff6ad7c4c951ce839,,Vindby vinkel,netatmo
sensor.unknown_70_ee_50_74_46_84_unknown_70_ee_50_74_46_84_unknown_70_ee_50_74_46_84_vindmatare_gust_strength,671baed6a8dae38ff6ad7c4c951ce839,,Vindbya styrka,netatmo
sensor.unknown_70_ee_50_74_46_84_unknown_70_ee_50_74_46_84_unknown_70_ee_50_74_46_84_vindmatare_reachability,671baed6a8dae38ff6ad7c4c951ce839,,Nåbarhet,netatmo
sensor.unknown_70_ee_50_74_46_84_unknown_70_ee_50_74_46_84_unknown_70_ee_50_74_46_84_vindmatare_radio,671baed6a8dae38ff6ad7c4c951ce839,,RF-styrka,netatmo
device_tracker.panel,269b2401de6663070e5bf00ff429ae6e,,,mobile_app
sensor.panel_detected_activity,269b2401de6663070e5bf00ff429ae6e,,Detected Activity,mobile_app
sensor.panel_sleep_confidence,269b2401de6663070e5bf00ff429ae6e,,Sleep Confidence,mobile_app
sensor.panel_sleep_segment,269b2401de6663070e5bf00ff429ae6e,,Sleep Segment,mobile_app
sensor.panel_current_version,269b2401de6663070e5bf00ff429ae6e,,Current Version,mobile_app
sensor.panel_app_rx_gb,269b2401de6663070e5bf00ff429ae6e,,App Rx GB,mobile_app
sensor.panel_app_tx_gb,269b2401de6663070e5bf00ff429ae6e,,App Tx GB,mobile_app
sensor.panel_app_memory,269b2401de6663070e5bf00ff429ae6e,,App Memory,mobile_app
binary_sensor.panel_app_inactive,269b2401de6663070e5bf00ff429ae6e,,App Inactive,mobile_app
sensor.panel_app_importance,269b2401de6663070e5bf00ff429ae6e,,App Importance,mobile_app
sensor.panel_ringer_mode,269b2401de6663070e5bf00ff429ae6e,,Ringer Mode,mobile_app
sensor.panel_audio_mode,269b2401de6663070e5bf00ff429ae6e,,Audio Mode,mobile_app
binary_sensor.panel_headphones,269b2401de6663070e5bf00ff429ae6e,,Headphones,mobile_app
binary_sensor.panel_mic_muted,269b2401de6663070e5bf00ff429ae6e,,Mic Muted,mobile_app
binary_sensor.panel_speakerphone,269b2401de6663070e5bf00ff429ae6e,,Speakerphone,mobile_app
